site,X,Y
A1N0001,25.9275,-25.54972222
A1N0002,25.91527778,-25.55027778
A2N0001,27.04833333,-24.35277778
A2N0002,26.81666667,-24.71666667
A2N0003,27.37475,-24.65221
A2N0005,27.5,-24.9581
A2N0010,26.55965561,-24.53065036
A2N0011,26.67965828,-24.83063058
A2N0014,27.32712,-25.78279
A2N0017,27.32146,-25.76287
A2N0029,27.42864,-25.75881
A2N0034,28.23018,-25.72929
A2N0035,28.23,-25.73
A2N0038,28.23832,-25.73391
A2N0045,27.47703,-25.66186
A2N0076,27.40805556,-24.59166667
A2N0082,27.43383,-24.79854
A2N0086,27.48,-24.81888889
A2N0087,27.52305556,-25.90611111
A2N0091,27.41388889,-24.74444444
A2N0097,27.43302,-25.75894
A2N0100,26.72944444,-24.47111111
A2N0108,27.55777778,-24.95638889
A2N0115,28.28972222,-24.88416667
A2N0116,28.29128,-24.8855
A2N0119,28.30208,-25.91312
A2N0121,28.31663,-25.90417
A2N0122,28.30804,-25.90561
A2N0123,28.30042,-25.89871
A2N0124,28.30693,-25.89463
A2N0125,28.31567,-25.89062
A2N0129,28.31443,-25.88977
A2N0131,28.32411,-25.80466
A2N0132,28.29971,-25.89394
A2N0136,28.30513,-25.89644
A2N0138,28.31659,-25.90597
A2N0139,28.31713,-25.90325
A2N0141,28.30511,-25.90527
A2N0142,28.3061,-25.90999
A2N0143,28.31074,-25.88564
A2N0145,28.31657,-25.90912
A2N0146,28.32166,-25.89291
A2N0199,28.28027778,-24.8875
A2N0201,26.89217,-25.87689
A2N0202,28.50054,-25.92001
A2N0524,28.23201,-25.73142
A2N0525,28.2302,-25.73991
A2N0526,28.23241,-25.74062
A2N0528,28.15632,-25.83098
A2N0534,28.23282,-25.72634
A2N0535,28.25456,-25.78359
A2N0543,28.25181,-25.78313
A2N0552,28.17165,-25.82623
A2N0553,27.64697,-26.06867
A2N0554,27.62917,-26.05302
A2N0555,27.63946,-26.04819
A2N0556,27.65417,-26.05231
A2N0558,27.56567,-26.02673
A2N0559,27.56512,-26.0257
A2N0562,27.54689,-26.07665
A2N0564,27.54745,-26.07832
A2N0566,27.57651,-26.07665
A2N0567,27.57643,-26.07711
A2N0568,27.57742,-26.09776
A2N0571,27.62232,-26.07415
A2N0572,27.60336,-26.07336
A2N0573,27.61508,-26.07671
A2N0574,27.6175,-26.08229
A2N0575,27.62438,-26.09038
A2N0577,27.64213,-26.08149
A2N0579,27.66026,-26.10224
A2N0580,27.66543,-26.09479
A2N0581,27.66627,-26.07937
A2N0582,27.69638,-26.08917
A2N0589,27.70805556,-26.01611111
A2N0590,27.71496,-26.02493
A2N0592,27.69751,-26.03135
A2N0594,27.68222222,-26.03416667
A2N0598,27.67444444,-26.06055556
A2N0601,27.70805556,-26.025
A2N0602,27.70514,-26.02769
A2N0603,27.7025,-26.02666667
A2N0605,27.68754,-26.02974
A2N0606,27.6843,-26.03251
A2N0607,27.68226,-26.0316
A2N0608,27.5976,-26.08549
A2N0609,27.59083333,-26.08638889
A2N0610,27.58199,-26.08706
A2N0612,27.57433,-26.08129
A2N0614,27.57062,-26.0818
A2N0615,27.56661,-26.08122
A2N0616,27.56255,-26.08089
A2N0617,27.57861111,-26.09555556
A2N0620,28.26356,-25.95318
A2N0624,28.25986,-25.96749
A2N0625,28.25111,-25.96
A2N0627,28.25075,-25.99584
A2N0628,28.28721,-26.04779
A2N0629,28.28831,-26.05749
A2N0631,28.28347,-26.01709
A2N0632,28.29835,-26.01064
A2N0634,28.31633,-26.04534
A2N0637,28.20946,-25.79078
A2N0638,28.21031,-25.79256
A2N0639,28.21666667,-25.79555556
A2N0640,28.20165,-25.79005
A2N0641,28.2186,-25.79848
A2N0642,28.20285,-25.80399
A2N0647,28.15259,-25.80956
A2N0656,28.11689,-25.81709
A2N0657,28.12037,-25.82273
A2N0658,28.11904,-25.82321
A2N0659,28.12048,-25.82532
A2N0660,28.11938,-25.8282
A2N0669,28.11577,-25.82733
A2N0670,28.11574,-25.82738
A2N0674,28.11714,-25.83375
A2N0676,28.25274,-25.88305
A2N0678,28.25591,-25.86994
A2N0679,28.25073,-25.87099
A2N0680,28.24858,-25.87666
A2N0685,28.22591,-25.86753
A2N0687,28.24642,-25.93659
A2N0688,28.21009,-25.8932
A2N0692,28.21089,-25.89987
A2N0693,28.23907,-25.90671
A2N0694,28.24444,-25.91269
A2N0695,28.24396,-25.91254
A2N0699,28.23803,-25.91284
A2N0702,28.36273,-25.93348
A2N0703,28.36814,-25.94173
A2N0704,28.35331,-25.93619
A2N0705,28.35479,-25.94198
A2N0706,28.35594,-25.942767
A2N0707,28.34223,-25.95124
A2N0708,28.32001,-25.94033
A2N0709,28.31309,-25.94436
A2N0710,28.41093,-26.03207
A2N0711,28.41767,-26.02954
A2N0712,28.434,-26.01529
A2N0713,28.311098,-25.930393
A2N0714,28.337726,-25.91729
A2N0715,28.33114,-25.96869
A2N0717,28.30019,-25.89368
A2N0729,28.31459,-25.90504
A2N0746,27.09777778,-24.42444444
A2N0747,26.94444444,-24.22666667
A2N0755,28.46826,-25.9638
A2N0756,28.40836,-25.96371
A2N0757,28.12289,-25.82136
A2N0775,28.08361111,-25.09972222
A2N0777,28.3357,-25.91604
A2N0778,28.40964,-25.97761
A2N0779,28.39258,-25.97415
A2N0780,28.39111,-25.97391
A2N0781,28.37776,-25.99775
A2N0782,28.3864,-26.00436
A2N0783,28.38085,-26.04699
A2N0784,28.33071,-25.97033
A2N0786,28.2793,-24.8883
A2N0787,28.29639,-25.20556
A2N0804,27.68438,-26.04455
A2N0814,28.18128,-25.85158
A2N0815,28.18147,-25.85108
A2N0816,28.18206,-25.85033
A3N0001,26.045603,-25.82139
A3N0002,26.04908,-25.81578
A3N0003,26.01767,-25.79072
A3N0004,26.01203,-25.78506
A3N0005,25.99261,-25.77372
A3N0006,25.9791,-25.7644
A3N0008,26.16342,-25.88122
A3N0009,26.16875,-25.84875
A3N0010,26.17903,-25.82792
A3N0011,25.96333333,-25.74333333
A3N0012,25.953488,-25.6845837
A3N0013,25.9533488,-25.6723652
A3N0015,25.92555556,-25.61416667
A3N0016,25.99914,-25.61389
A3N0017,25.97536,-25.62233
A3N0501,26.34762,-25.79323
A3N0502,26.45944444,-25.86805556
A3N0503,26.47141,-25.83764
A3N0504,26.45466,-25.85469
A3N0505,25.9196,-25.644
A3N0506,26.13444444,-25.66
A3N0507,25.75962967,-25.44058811
A3N0509,26.14055556,-25.65583333
A3N0510,26.1425,-25.6575
A3N0511,26.13444444,-25.68861111
A3N0512,25.82383,-25.57344
A3N0513,25.86831,-25.56447
A3N0514,25.91956,-25.52478
A3N0516,25.90222222,-25.53611111
A3N0519,25.89306,-25.55783
A3N0521,25.8934,-25.5591
A4N0502,27.37333333,-23.94694444
A4N0503,27.3736,-23.46799
A4N0504,28.00321,-23.69129
A4N0505,27.66471,-23.34401
A4N0506,28.12093,-24.19335
A4N0507,27.90429,-24.09054
A4N0508,27.46778,-24.22124
A4N0509,26.93093,-23.98176
A4N0510,27.03042,-23.69252
A4N0511,28.11508,-24.54152
A4N0512,27.83912,-24.48514
A4N0513,27.36998,-23.91008
A4N0514,27.74936,-23.70069
A4N0515,27.90186,-24.09262
A4N0516,28.33295,-24.42621
A5N0001,27.91861111,-23.34138889
A5N0005,27.88333333,-23.2775
A5N0008,27.89138889,-23.27333333
A5N0009,28.12796,-23.35499
A5N0010,28.24138889,-23.13305556
A5N0011,27.89113,-23.2739
A5N0012,28.0112,-23.06397
A5N0013,28.21757,-23.69476
A5N0014,28.51381,-24.21668
A5N0015,28.27439,-24.11917
A5N0016,28.08613,-23.555
A5N0017,28.13855,-22.92164
A5N0018,28.23185,-23.09429
A6N0019,29.16916667,-24.1475
A6N0021,28.90388889,-24.43888889
A6N0023,28.74956,-24.5538
A6N0044,29.00974,-24.1756
A6N0059,28.93879,-24.35032
A6N0066,28.37472222,-24.69861111
A6N0069,29.17486,-24.174
A6N0070,29.15083333,-24.18833333
A6N0078,29.14611111,-24.15055556
A6N0079,28.96855,-24.2001
A6N0083,28.92577,-24.12256
A6N0505,28.8725,-23.64805556
A6N0514,28.75,-24.55
A6N0520,29.05,-24.1
A6N0534,28.91721,-24.1227
A6N0535,29.09638889,-24.17527778
A6N0538,29.0875,-24.17333333
A6N0541,28.695,-24.62583333
A6N0544,28.6785,-24.65927
A6N0545,28.68733,-24.6205
A6N0549,28.68305556,-23.63305556
A6N0550,28.67178,-24.6493
A6N0553,28.68152,-24.6155
A6N0554,28.69638889,-24.6425
A6N0557,28.67694444,-24.65444444
A6N0558,29.07194444,-24.20138889
A6N0559,29.06527778,-24.16388889
A6N0560,29.12403,-24.1588
A6N0562,29.11388889,-24.15416667
A6N0563,28.85336,-22.88193
A6N0564,28.86138889,-22.87916667
A6N0565,29.05138889,-22.82944444
A6N0567,28.99527778,-22.82083333
A6N0570,29.00356,-22.83914
A6N0571,28.87361111,-23.02361111
A6N0572,28.783361,-22.9595
A6N0573,29.04138889,-22.95055556
A6N0574,28.219472,-22.833356
A6N0575,28.92944444,-22.85916667
A6N0576,28.910111,-22.8613667
A6N0577,28.59003,-22.53138
A6N0578,28.65835,-23.37624
A6N0579,29.04107,-22.9494
A6N0580,28.40044,-23.19579
A6N0581,29.08672,-24.1707
A6N0582,28.77387,-23.14953
A6N0583,28.83799,-22.48714
A6N0584,28.87555556,-23.6511
A6N0585,28.74003,-24.5467
A6N0586,29.12097,-23.59459
A6N0587,29.00397,-24.11741
A6N0588,28.59611,-23.96501
A6N0589,28.51089,-22.62244
A6N0590,28.53477,-22.99993
A6N0591,29.30144,-22.25584
A6N0592,29.10782,-22.68464
A6N0593,29.21546,-22.51595
A6N0594,28.22368,-22.68123
A6N0595,28.73526,-22.7309
A6N0597,28.80758,-23.80539
A6N0598,28.40861111,-23.44555556
A6N0599,29.095278,-23.89543
A6N0602,28.61579,-24.3992
A6N0603,28.37916,-24.70111
A6N0604,28.63518,-23.71375
A6N0605,29.02878,-23.42621
A6N0606,28.48749,-22.83852
A6N0608,29.03794,-22.89772
A6N0610,28.68399,-24.3071
A6N0611,29.01072,-24.3849
A6N0612,29.05034,-23.81489
A6N0613,29.05134,-23.81614
A6N0614,29.05026,-23.81575
A6N0615,29.05025,-23.81633
A6N0616,29.05121,-23.81879
A6N0617,29.04888,-23.81787
A6N0618,29.04,-23.81756
A6N0619,29.04692,-23.81829
A6N0620,29.05052,-23.82047
A6N0621,29.04971,-23.8226
A6N0622,29.05013,-23.82416
A6N0623,29.0492,-23.82383
A6N0624,29.04454,-23.81469
A6N0625,29.04641,-23.81458
A6N0626,29.04655,-23.8157
A6N0627,29.04511,-23.81581
A6N0628,29.04546,-23.81499
A6N0629,29.04656,-23.8201
A6N0630,29.0444,-23.82034
A6N0631,29.04501,-23.82279
A6N0632,29.04462,-23.82229
A6N0633,29.04841,-23.81543
A6N0634,29.04844,-23.81077
A6N0635,29.0523,-23.81377
A6N0636,29.04089,-23.80509
A6N0637,29.081806,-22.865972
A7N0015,29.44583333,-23.90916667
A7N0019,29.59566,-23.11044
A7N0025,29.47027778,-23.90638889
A7N0027,29.44888889,-23.92805556
A7N0028,29.88888889,-23.06416667
A7N0029,29.43837,-23.8473
A7N0031,29.38805556,-23.83194444
A7N0032,29.37111111,-23.81555556
A7N0033,29.38972222,-22.19194444
A7N0035,29.43305556,-22.17222222
A7N0036,29.43944444,-22.17166667
A7N0038,29.44416667,-23.81388889
A7N0039,29.61138889,-23.63305556
A7N0040,29.61194444,-23.6325
A7N0041,29.61102,-23.64137
A7N0504,29.42527778,-23.86583333
A7N0509,29.44361111,-23.91805556
A7N0511,29.46527778,-23.93444444
A7N0524,29.27445,-23.3634
A7N0525,29.53941,-23.8324
A7N0538,29.42789,-23.8879
A7N0539,29.45344,-23.9228
A7N0545,28.98305556,-22.71666667
A7N0549,29.41739,-23.92229
A7N0556,29.59555556,-23.67305556
A7N0561,29.43503,-23.9012
A7N0580,29.59194444,-23.97416667
A7N0581,29.88638889,-23.07138889
A7N0586,29.44412,-23.833
A7N0587,29.44083333,-23.83638889
A7N0588,29.4225,-23.82277778
A7N0589,29.89694444,-23.07638889
A7N0590,29.40666667,-23.81944444
A7N0591,29.40583333,-23.8225
A7N0593,29.8907,-23.08469
A7N0598,29.45416667,-22.16916667
A7N0599,29.42666667,-22.17416667
A7N0617,29.34888889,-22.19777778
A7N0628,30.11888889,-22.30972222
A7N0629,29.57551,-23.6736
A7N0630,29.375,-22.1986
A7N0631,29.5923,-23.97537
A7N0632,29.5899,-23.97427
A7N0633,29.67412,-23.76016
A7N0634,28.9872,-23.1215
A7N0635,29.21614,-23.81176
A7N0636,29.46545,-23.93544
A7N0637,29.37878,-23.83892
A7N0638,29.82634,-23.5097
A7N0639,29.22748,-24.04168
A7N0640,28.95972222,-23.19055556
A7N0641,29.42947,-23.53646
A7N0642,29.41861,-23.8203
A7N0643,29.55139,-23.36065
